no,title,date,attach_local,attach_orig
57,CM Case Study Submissions for ConsMa 2024 and Global CM Contest,2023/09/15,submission_form_Global_CM_Contest_2024.doc,submission form_Global CM Contest 2024.doc
56,[ConsMa 2023] Overseas Construction Supporting Policy of Korea,2023/09/11,11________.pdf,11_김석훈 사무관.pdf
55,[ConsMa 2023] Study for the Construction of Flood Sea Gates to Protect the South Shore of Long,2023/09/11,10_Robert_Bennett.pdf,10_Robert Bennett.pdf
54,[ConsMa 2023] Japan’s Construction Industry Trends & Directions for CM Development,2023/09/11,09_Takehiko_Miyazaki.pdf,09_Takehiko Miyazaki.pdf
53,[ConsMa 2023] Prospects and Challenges in the Korean Construction Industry,2023/09/11,08_________.pdf,08_이홍일 연구위원.pdf
52,[ConsMa 2023] Innovation Management Techniques Support for Indonesia’s New Capital City Develop,2023/09/11,07_Atyanto_Busono.pdf,07_Atyanto Busono.pdf
51,[ConsMa 2023] Construction Services for the New National Capital City (IKN) “Future Smart Fores,2023/09/11,06_Abdul_Muis.pdf,06_Abdul Muis.pdf
50,[ConsMa 2023] CIOB’s Community of Construction Managers - What the Industry has Learned post-Co,2023/09/11,05_Caroline_Gumble_7954.pdf,05_Caroline Gumble_7954.pdf
49,[ConsMa 2023] Construction Trends in Hong Kong: from Projects to Technologies,2023/09/11,04_Francis_Chan.pdf,04_Francis Chan.pdf
48,[ConsMa 2023] International Geopolitics Toward the Enhancement of Indonesian Construction Indus,2023/09/11,03_Darma_T._Saptodewo.pdf,03_Darma T. Saptodewo.pdf
47,[ConsMa 2023] Digitalized and Automated OSC Project Planning and Management,2023/09/11,02_Kim_Taewan.pdf,02_Kim Taewan.pdf
46,[ConsMa 2023] Going Strong: The US Construction and CM Market,2023/09/11,01_Bill_Van_Wagenen.pdf,01_Bill Van Wagenen.pdf
45,ConsMa 2023 13th International CM Day & 10th CM Seoul Forum,2023/09/09,230411_eng_2307.jpg,230411_eng_2307.jpg
44,「ConsMa 2019 International CM Day Global CM Contest Event」,2019/03/17,ConsMa2019_3176.jpg,ConsMa2019_3176.jpg
43,[ConsMa 2019] Indonesian Construction Industry Development and CM,2019/03/14,PPT-Hari_Soeparto.pdf,PPT-Hari Soeparto.pdf
42,[ConsMa 2019] Incheon International Airport Phase 3 Comprehensive PM Support Service,2019/03/14,PPT-Byungchul-eng.pdf,PPT-Byungchul-eng.pdf
41,[ConsMa 2019] LEGOLAND Japan New Construction Project,2019/03/14,PPT-Tomoyuki_Haramura.pdf,PPT-Tomoyuki Haramura.pdf
40,[ConsMa 2019] Construction Technology and Project Management of High-rise Buildings,2019/03/14,PPT-Wang_Shaofeng.pdf,PPT-Wang Shaofeng.pdf
39,[ConsMa 2019] NY State Government Program to Repair Elevate Damaged Properties,2019/03/14,PPT-Robert_Bennett.pdf,PPT-Robert Bennett.pdf
38,[ConsMa 2019] Lotte Resort Sokcho New Construction CM Service,2019/03/14,PPT-Gooho-eng.pdf,PPT-Gooho-eng.pdf
37,[ConsMa 2019] Phoenix Seagaia Resort Renewal Project,2019/03/14,PPT-ShinyaKogawa.pdf,PPT-ShinyaKogawa.pdf
36,[ConsMa 2019] Construction Management for Narakium Yeoksam-dong A&B Building,2019/03/14,PPT-Kwanbum-eng.pdf,PPT-Kwanbum-eng.pdf
35,[ConsMa 2019] Construction Project Management in Europe and the Middle East,2019/03/13,0312-Nicholas_Smith.pdf,0312-Nicholas Smith.pdf
34,[ConsMa 2019] The Application of Virtual Reality in CM Education and Training,2019/03/13,PDF-Peter_SP_Wong.pdf,PDF-Peter SP Wong.pdf
33,[ConsMa 2019] Japanese Construction Industry Today and Beyond,2019/03/13,PPT-Miyazaki.pdf,PPT-Miyazaki.pdf
32,"[ConsMa 2019] Korea""s Smart City Policies and National Pilot Project",2019/03/13,PPT-Youngtae-eng.pdf,PPT-Youngtae-eng.pdf
31,[ConsMa 2019] New Concept of China High-speed Railway Smart Passenger Station Construction,2019/03/13,PPT-Wu_Yonghong.pdf,PPT-Wu Yonghong.pdf
30,[ConsMa 2019] International CM Day,2019/03/13,ConsMa2019-Program.pdf,ConsMa2019-Program.pdf
29,[ConsMa 2019] International CM Day & Global CM Contest,2019/02/15,ConsMa2019.pdf,ConsMa2019.pdf
28,[ConsMa 2017] Construction Market in South East Asia,2017/03/15,CMAA_8579.pdf,CMAA_8579.pdf
27,[ConsMa 2017] Paradigm shift of Infrastructure and Transportation R&D,2017/03/15,KAIA.pdf,KAIA.pdf
26,[ConsMa 2014] Pursuing excellence in CM,2014/03/13,IPMA_621.pdf,IPMA_621.pdf
25,[ConsMa 2014] Construction and CM Trends in Spain,2014/03/13,CMAS.pdf,CMAS.pdf
24,[ConsMa 2014] Construction Market and CM Development Trends in Japan,2014/03/13,CMAJ_820.pdf,CMAJ_820.pdf
23,[ConsMa 2014] Construction Trends and Directions,2014/03/13,CMAA_9305.pdf,CMAA_9305.pdf
22,ConsMa 2014 International CM Day Celebrations,2014/02/27,brochure.pdf,brochure.pdf
21,International CM seminar on 26 March,2013/03/06,,
20,March 12 is International CM Day,2012/05/15,CMAA.jpg,CMAA.jpg
19,Post script to International CM Day celebrations.,2012/04/04,,
18,For Construction Industry to Move One Step Forward,2012/04/03,,
17,Construction Management in the United States: Status & Issues,2012/04/03,,
16,A Definition of Construction Management,2012/04/03,,
15,"CM in Japan, in pursuit of further security, safety and productivity",2012/04/03,,
14,Risk Management for Large Projects,2012/04/03,,
13,Present & Future of CM in Spain & Latin America,2012/04/03,,
12,CosMa 2012 presentation PDF files can be downloaded,2012/04/03,,
11,CM Seoul Forum and Global CM Contest Report,2012/04/03,CMDay.jpg,CMDay.jpg
10,ConsMa 2012 International CM Day celebrations,2011/11/01,Pamphlet.pdf,Pamphlet.pdf
9,ConsMa 2012 ‘International CM Day’,2011/07/08,ConsMa_2012_ENG.doc,ConsMa 2012_ENG.doc
