no,title,date,attach_local,attach_orig
450,Capturing 30 Years of CM History: Inaugural Meeting of the 30-Year CM History Compilation Commi,2026/06/29,260626.jpg,260626.jpg
449,ConsMa 2026 & ICPMA Conference 2026 Presentation Materials and Videos Now Available,2026/06/10,ConsMa_ICPMA_2026.jpg,ConsMa&ICPMA 2026.jpg
448,ConsMa 2026 & ICPMA Conference 2026 Concludes with Success,2026/06/10,ConsMa_2026.jpg,ConsMa 2026.jpg
447,CMAK and Junglim CM Jointly Publish Revised Edition of the CM Work Guidebook,2026/06/10,Manual.jpg,Manual.jpg
446,CMAK Conducts Leadership Competency Training for Samwoo CM Site Directors,2026/06/10,260522.jpg,260522.jpg
445,1st Regular Meeting of the 2026 Overseas Market Launch Committee,2026/06/10,260513.jpg,260513.jpg
444,The 1st Compliance Committee Regular Meeting,2026/04/17,260417.jpg,260417.jpg
443,Seminar on Strengthening Construction Industry Competitiveness through CM-Based VE,2026/04/14,260409.jpg,260409.jpg
442,Status of Public Construction CM Service Procurement for Q1 2026,2026/04/06,260401eng.jpg,260401eng.jpg
441,Capacity-Building Training for Senior Site Managers Conducted for Baum CM,2026/03/31,260327.jpg,260327.jpg
440,1st Construction VE·LCC Committee Meeting,2026/03/31,260325.jpg,260325.jpg
439,1st CM Future Strategy Special Committee Meeting,2026/03/31,260319.jpg,260319.jpg
438,2026 29th Annual General Meeting,2026/02/25,260225.jpg,260225.jpg
437,2026 Committee Chair and Secretary Meeting,2026/02/13,260211.jpg,260211.jpg
436,Application Period Announced for the 2026 CM Capability Evaluation and Disclosure,2026/02/06,,
435,The First Board of Directors Meeting for 2026,2026/02/06,260204.jpg,260204.jpg
434,Roundtable on Measures to Activate CM in Seoul’s Urban Renewal Projects,2026/02/06,260128.jpg,260128.jpg
433,CM Roundtable to Support the Successful Redevelopment of Cheonho A1-2 District,2026/02/06,251230.jpg,251230.jpg
432,Briefing Session on the 2026 CM Capability Evaluation and Disclosure System,2025/12/18,251217.jpg,251217.jpg
431,Seminar on Criminal and Administrative Risks for Construction Managers and Response Strategies,2025/12/15,251211.jpg,251211.jpg
430,The 18th “CM Professionals’ Night” Held to Conclude 2025,2025/12/15,251210_7175.jpg,251210_7175.jpg
429,2025 1st Certified Construction Manager Certificate Award Ceremony Held,2025/12/15,251210__1_.jpg,251210_(1).jpg
428,Seminar: “The Future of the Construction Industry Opened by AI and Robotics”,2025/12/15,251210.jpg,251210.jpg
427,Publication of the 2025 CM Capability Evaluation & Disclosure Data Book,2025/12/15,251201.jpg,251201.jpg
426,Grand Prize Awarded in the 20th CM Slogan Contest,2025/12/15,251126.jpg,251126.jpg
425,From the Middle East Economy to AI-Based Safety Management: Key CM Issues Closely Reviewed,2025/12/15,251119.jpg,251119.jpg
424,The 19th CM Professionals Mountain Field Trip Discussion Meeting Held at Achasan,2025/12/15,251107.jpg,251107.jpg
423,2025 3rd Board of Directors Meeting,2025/12/15,251106.jpg,251106.jpg
422,CM-Owner Partnership Day Successfully Held,2025/12/15,251030_7601.jpg,251030_7601.jpg
421,2025 1st Certified Construction Manager Examination-Written Test (Part 1) Administered,2025/09/24,250907.jpg,250907.jpg
420,CMAK Successfully Hosts Seminar on Construction Safety Response Measures,2025/09/24,250923.jpg,250923.jpg
419,Chairman Bae Yung-Hwi Attends the 34th IPMA World Congress in Berlin,2025/09/24,250919.jpg,250919.jpg
418,1st Overseas Expansion Committee Meeting Held,2025/09/24,250909.jpg,250909.jpg
417,2025 Construction Management (CM) Capability Evaluation,2025/09/11,250828.jpg,250828.jpg
416,Status of Public Construction CM Services in Q2 2025,2025/09/11,250702.jpg,250702.jpg
415,Seminar for Innovation in the Construction Industry,2025/06/13,250611.jpg,250611.jpg
414,Chairman Bae Yung-Hwi Attends ICPMA Conference,2025/06/12,250603.jpg,250603.jpg
413,CMAK Holds 2025 Compliance Committee Annual Meeting,2025/06/12,250528.jpg,250528.jpg
412,ConsMa 2025: Successful Conclusion of the 15th International CM Day and the 11th CM Seoul Forum,2025/06/05,250415.jpg,250415.jpg
411,CMAK and CIOB Sign MOU (3rd Extension),2025/06/05,250404.jpg,250404.jpg
410,Status of Public Construction CM Services in Q1 2025,2025/06/05,250402.jpg,250402.jpg
409,The video recordings of the ConsMa 2025,2025/04/16,,
408,ConsMa 2025: The 15th International CM Day & 11th CM Seoul Forum,2025/03/17,250414.jpg,250414.jpg
407,CM Seminar for Successful Sarieok Integrated Redevelopment Project,2025/03/17,250307.jpg,250307.jpg
406,CMAK Chairman Bae Yung-hwi Attends 「CMAA FOCUS 25」 in the U.S.,2025/03/17,250309.jpg,250309.jpg
405,For Acceleration of Digitalization and Convergence: CMAK is now IPMA Korea,2025/03/17,250305.jpg,250305.jpg
404,2025 28th Annual General Meeting,2025/03/10,250220.jpg,250220.jpg
403,Discussion with Mooyoung CM for CM Industry Development,2025/03/10,250212.jpg,250212.jpg
402,2025 1st Board of Directors Meeting,2025/03/10,250206.jpg,250206.jpg
401,2024 Public Construction CM Service Order Status,2025/03/10,2024CM.jpg,2024CM.jpg
400,CMAK Publishes the 2024 CM Competency Assessment & Disclosure Report,2024/12/23,CMAK03.jpg,CMAK03.jpg
399,"17th ""CM Professionals&quot; Night"" Celebration",2024/12/23,CMAK02.jpg,CMAK02.jpg
398,CMAK Signs Memorandum of Understanding with the Korea Specialty Contractors Association,2024/12/23,CMAK04.jpg,CMAK04.jpg
397,Announcement of Winners for the 19th Construction Management (CM) Slogan Competition,2024/12/23,CMAK01.jpg,CMAK01.jpg
396,Driving Innovation in CM: CMAK and Haeahn Architecture Hold Strategic Discussion,2024/12/16,241120.jpg,241120.jpg
395,18th CM Professionals Mountain Discussion Forum Held,2024/12/16,241108.jpg,241108.jpg
394,CMAK Announces Certified Construction Managers for 2024,2024/12/16,241206-2.jpg,241206-2.jpg
393,CMAK Participates in ‘CMAA 2024 National Conference & Trade Show’ in the U.S.,2024/12/16,CMAA_686.jpg,CMAA_686.jpg
392,2024 Q3 Public Sector CM Contracts Total KRW 1.61896 Trillion,2024/11/26,241004.jpg,241004.jpg
391,2nd Construction VE·LCC Committee for 2024,2024/09/10,240906.jpg,240906.jpg
390,1st Construction Management Certification Examination for 2024 - Part 1 Written Exam,2024/09/10,240901.jpg,240901.jpg
389,Disclosure of Construction Management (CM) Capability Evaluation for 2024,2024/09/10,240830.jpg,240830.jpg
388,Discussion on Construction Cooperation with the Ambassador of Kazakhstan,2024/09/10,240829.jpg,240829.jpg
387,Discussion on Construction Cooperation with the Ambassador of Bangladesh,2024/09/10,240802.jpg,240802.jpg
386,MOU Signing between CMAK and Korea Airports Corporation,2024/09/10,240710-1.JPG,240710-1.JPG
385,2024 2nd Quarter Public Construction CM Service Order Status,2024/09/10,240702.jpg,240702.jpg
384,Construction Management Application Conference to Improve the Efficiency of Maintenance Project,2024/06/20,240619eng.jpg,240619eng.jpg
383,“CM Work Guidebook” e-Book Published on the CMAK Website,2024/06/14,CM_guidebooks.jpg,CM guidebooks.jpg
