no,title,date,attach_local,attach_orig
63,[ConsMa 2019] Indonesian Construction Industry Development and CM,2019/03/14,2-11_Hari_G_Soeparto.pdf,2-11 Hari G Soeparto.pdf
62,[ConsMa 2019] Incheon International Airport Phase 3 Comprehensive Project Management Support Se,2019/03/14,2-10_SAMOO_CM.pdf,2-10 SAMOO CM.pdf
61,[ConsMa 2019] LEGOLAND Japan New Construction Project,2019/03/14,2-9_Meiho_Facility_Works.pdf,2-9 Meiho Facility Works.pdf
60,[ConsMa 2019] Construction Technology and Project Management of High-rise Buildings,2019/03/14,2-8_Wang_Shaofeng.pdf,2-8 Wang Shaofeng.pdf
59,[ConsMa 2019] CM Lessons Learned-NY State Government Program to Repair Elevate Damaged Properti,2019/03/14,2-7_Robert_Bennett.pdf,2-7 Robert Bennett.pdf
58,[ConsMa 2019] Lotte Resort Sokcho New Construction Corporation CM Service,2019/03/14,2-5_LOTTE_CM.pdf,2-5 LOTTE CM.pdf
57,[ConsMa 2019] Phoenix Seagaia Resort Renewal Project,2019/03/14,2-3_Nikken_Sekkei_CM.pdf,2-3 Nikken Sekkei CM.pdf
56,"[ConsMa 2019] Narakium Yeoksam-dong, A/B Building Development Project CM Service",2019/03/14,2-2_Shinhwa_Engineering.pdf,2-2 Shinhwa Engineering.pdf
55,[ConsMa 2019] Construction Project Management in Europe and the Middle East,2019/03/14,2-1_Nicholas_Smith.pdf,2-1 Nicholas Smith.pdf
54,[ConsMa 2019] The Application of Virtual Reality in Construction Management Education and Train,2019/03/14,1-4_Peter_SP_Wong.pdf,1-4 Peter SP Wong.pdf
53,[ConsMa 2019] Japanese Construction Industry Today and Beyond,2019/03/14,1-3_Takehiko_Miyazaki.pdf,1-3 Takehiko Miyazaki.pdf
52,[ConsMa 2019] Korean Smart City Policies and National Pilot Project,2019/03/14,1-2_Young-tae_CHO.pdf,1-2 Young-tae CHO.pdf
51,[ConsMa 2019] New Concept of China High-speed Railway Smart Passenger Station Construction,2019/03/14,1-1_Wu_Yonghong.pdf,1-1 Wu Yonghong.pdf
50,[ConsMa 2018] International Cooperation for Globalization of CM,2018/03/22,7-3____.pdf,7-3 차희성.pdf
49,[ConsMa 2018] Japanese CM Firms and Construction Industry Trends,2018/03/22,6-3___.pdf,6-3 일본.pdf
48,[ConsMa 2018] Introduction of China Construction Industry’s Reform and Development,2018/03/22,5-3___.pdf,5-3 중국.pdf
47,[ConsMa 2018] The US Construction Market and Proposed Infrastructure Funding,2018/03/22,4-3______.pdf,4-3 미국(빌).pdf
46,[ConsMa 2018] Activation Measures of VECP,2018/03/22,3-3-2________.pdf,3-3-2 김병수(영문).pdf
45,"[ConsMa 2018] FUNDAMENTALS : Construction Procurement, Finance and Management in Australia",2018/03/22,2-3___.pdf,2-3 호주.pdf
44,[ConsMa 2018] CM status and Construction Market Outlook in Indonesia,2018/03/22,1-3______.pdf,1-3 인도네시아.pdf
43,[ConsMa 2018] CM as a Building Block toward a Comprehensive Project Delivery,2018/03/22,_12__1-3______________.pdf,(12일)1-3 미국(지오반니) 발표자료.pdf
