no,title,date,attach_local,attach_orig
28,The present and the future of CM in Korea,2011/05/09,BYH.pdf,BYH.pdf
27,Construction Management for Hwaseung Main Stadium,2011/05/01,Heerim_eng.pdf,Heerim_eng.pdf
26,The Changi Water Reclamation Plant,2011/05/01,CH2MHILL_eng.pdf,CH2MHILL_eng.pdf
25,The role of CM and Jeju Free Int’l City Project,2011/05/01,JDC_eng.pdf,JDC_eng.pdf
24,"Construction Management of Songdo IBD, Korea",2011/05/01,POSCO_eng.pdf,POSCO_eng.pdf
23,A Case to Construct the Newly Integrated Gwanak,2011/05/01,ITM_eng.pdf,ITM_eng.pdf
22,Construction Management in New Songdo,2011/05/01,Kunwon_eng.pdf,Kunwon_eng.pdf
21,The Introduction of the CM applied to the Gwacheon,2011/05/01,Hanmi_eng.pdf,Hanmi_eng.pdf
20,U.S. Department of Transportation Headquarters,2011/05/01,Jacobs_eng.pdf,Jacobs_eng.pdf
19,Progress Status in the Sejong City PM,2011/05/01,Sejong_eng.pdf,Sejong_eng.pdf
18,Seoul St. Mary Hospital & Student Hall,2011/05/01,PARSONS_eng.pdf,PARSONS_eng.pdf
17,International Hotel Design Case Studies,2011/05/01,IECM.pdf,IECM.pdf
16,Global Business Strategy of CM firms,2011/05/01,CMAK.pdf,CMAK.pdf
15,Developments in knowledge in Construction Project Management in UK and Europe,2011/05/01,CIOB.pdf,CIOB.pdf
14,The Role of Construction and Program Management In the US Construction Industry,2011/05/01,CMAA.pdf,CMAA.pdf
13,Latest Report of CM in Japan and CMAJ,2011/05/01,CMAJ.pdf,CMAJ.pdf
12,IPMA moving forward,2011/05/01,IPMA.pdf,IPMA.pdf
11,The Status and Prospects of the International CM Market,2011/05/01,Bill_CMAA.pdf,Bill_CMAA.pdf
10,"Strategies for Development of Future Construction and CM""s Role",2011/05/01,Hyun-Soo_Lee.pdf,Hyun-Soo Lee.pdf
9,The Changing Environment of the Construction Industry and Suggested Action Plans,2011/05/01,Takehiko.pdf,Takehiko.pdf
8,The Changing Environment of the Construction Industry and Suggested Action Plans,2011/05/01,Adesh_9257.pdf,Adesh_9257.pdf
7,The Changing Environment of the Construction Industry and Suggested Action Plans,2011/05/01,Min-Hyung_Kim.pdf,Min-Hyung Kim.pdf
6,The future of CM,2011/05/01,Hank.pdf,Hank.pdf
5,How CM Is Practiced in the USA,2011/05/01,Bill.pdf,Bill.pdf
4,Construction Management System in Japan,2011/04/29,Shuzo.pdf,Shuzo.pdf
3,Development of Construction Project Management in the UK,2011/04/29,Saleem.pdf,Saleem.pdf
2,CM Market Trend in America,2011/04/29,Porie.pdf,Porie.pdf
1,New Frontiers of Managing Construction Projects,2011/04/29,Adesh.pdf,Adesh.pdf
