No,FirmName,Address,Tel,Fax,Web
148,AHKIDOM Architects & Engineers,"183, Pungdeokcheon-ro, Suji-gu, Yongin-si, Gyeonggi-do",(031)263-2646,(031)263-2647,
147,AK NETWORK,"17F, Kwangil B/D, 1337-32, Seocho-dong, Seocho-gu, Seoul",(02)2179-5036,(02)2179-5092,
146,"ANT Engineering Co., Ltd.","4F, Taeyang B/D, 280, Seocho-daero, Seocho-gu, Seoul",(02)598-8808,(02)587-5020,
145,BAEKLIM ARCHITECTS & ENGINEERS CONSULTANTS,"404, IBC Daewoo diohbil, 72, Gonghang-ro 424beon-gil, Jung-gu, Incheon",(032)743-8978,(032)743-2939,
144,BAUM ARCHITECTS,"286, Gangnam-daero, Gangnam-gu, Seoul",(02)6942-0753,(02)538-9271,www.baum.co.kr
143,"BCMP CO., LTD.","1207, NO. 15, Daeryuong techno town, 401, Simin-daero, Dongan-gu, Anyang-si, Gyeonggi-do",(031)463-3570,(031)463-3580,www.bcmpkorea.com
142,CHEONG WOO,"2F/3F, Juseong B/D, 190, Saun-ro, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do",(043)276-7213,(043)276-7226,
141,CHEONGHAE Engineering & CONSTRUCTION,"Sunjung B/D, 66, Hagikso-ro, Nam-gu, Incheon",(032)465-3095,(032)467-3095,www.chce.co.kr
140,CHEONIL DESIGN & ARCHITETURE,"7, Gaepo-ro 32-gil, Gangnam-gu, Seoul",(02)578-2921,(02)574-2910,www.cade.co.kr
139,ChinChinD,"2F, 331, Eonju-ro, Gangnam-gu, Seoul",1599-4217,02-563-8531,
138,"Chungwoo ENG Co., Ltd","4F, 308, Sinbanpo-ro, Seocho-gu, Seoul",02-514-1191,02-514-6119,www.cwe.co.kr
137,CMX,"505, B, Gab-ul great valley, 32, Digital-ro 9-gil, Geumcheon-gu, Seoul",(02)3462-1336,(02)3462-1306,www.cmx.co.kr
136,Construction Management JISUNG,"301, 3M house, 39-4, Banpo-daero 23-gil, Seocho-gu, Seoul",(02)718-6650,(02)718-6658,www.cmjisung.com
135,"DA GROUP CO., LTD","DA group B/D, 7, Teheran-ro 104-gil, Gangnam-gu, Seoul",(02)531-0400,(02)531-0551,www.dagroup.co.kr
134,DAAIN GROUP ARCHITECTURE & URBAN DESIGN,"3F, PAX Tower A-dong, 609, Eonju-ro, Gangnam-gu, Seoul",(02)6925-2733,(02)6925-2790,www.daineng.net
133,DAEWON ARCHITEC,"30-5, Bongeunsa-ro 114-gil, Gangnam-gu, Seoul",(02)554-5117,(02)563-5129,
132,"DAEWOO ENGINEERING & CONSTRUCTION CO., LTD.","75, Saemunan-ro, Jongno-gu, Seoul",(02)2259-3030,(02)2259-3777,www.dwconst.co.kr
131,"DAN A&C CO., LTD.","3F, Sunjung B/D, 66, Hagikso-ro, Nam-gu, Incheon",(032)425-8855,(032)246-8005,www.dannet.co.kr
130,DASAN CONSULTATS,"15, Songi-ro 30gil, Songpa-gu, Seoul",(02)2222-4005,(02)539-1115,www.dasan93.co.kr
129,DAWON GROUP ARCHITECT & ASSOCIATES,"Dawon B/D, 8-8, Baekjegobun-ro 41-gil, Songpa-gu, Seoul",(02)422-4563,(02)422-5847,www.dawonarch.kr
128,DOM ARCHITECT,"Yedam B/D, 334, Achasan-ro, Gwangjin-gu, Seoul",(02)454-9050,(02)558-9055,www.domarchi.co.kr
127,DONGBU CORPORATION,"Centreville Asterium D-dong, 372, Hangang-daero, Yongsan-gu, Seoul",(02)3484-2041,(02)3484-2005,dbcon.dongbu.co.kr
126,"DONGBU ENGINEERING CO., LTD.","Centreville Asterium D-dong, 372, Hangang-daero, Yongsan-gu, Seoul",(02)2122-6700,(02)2122-6920,www.dongbueng.co.kr
125,DONGIL ARCHITECTS & ENGINEERS,"8, Dosan-daero 46-gil, Gangnam-gu, Seoul,",(02)515-1360,(02)515-8666,www.dongil82.co.kr
124,DONGMYEONG ENGINEERING CONSULTANTS & ARCHITECTURE,"Dongmyeong B/D, 501, Cheonggyecheon-ro, Dongdaemun-gu, Seoul",(031)706-1681,(031)706-1682,www.dmec.co.kr
123,"DONGWOO ENGINEERING & CONSTRUCTION CO., LTD.","57-1, Hyeonggokdong-ro, Gumi-si, Gyeongsangbuk-do",(053)749-2000,(053)756-9754,www.dongwooa.com
122,DONGWOO ARCHITECTS & CONSULTANTS,"92, Dangsan-ro, Yeongdeungpo-gu, Seoul",(02)519-6300,(02)540-7231,www.dongwoo.net
121,DONGYANG ENGINEERING & CONSTRUCTION CORP.,"Lexus D&T B/D, 312, Yeongdong-daero, Gangnam-gu, Seoul",(02)3420-8024,(02)3420-8112,www.dongyangex.co.kr
120,"DOOSAN ENGINEERING & CONSTRUCTION CO., LTD.","Doosan B/D, 726, Eonju-ro, Gangnam-gu, Seoul",(02)510-3014,(02)510-3004,www.doosancon.com
119,"DOWHA ENGINEERING CO., LTD.","438, Samseong-ro, Gangnam-gu, Seoul",(02)6323-3000,(02)553-8021,www.dohwa.co.kr
118,"DOWON ENGINEERING & ARCHITECTS CO., LTD.","Dowon B/D, 390, Gyeryong-ro, Seo-gu, Daejeon",(042)521-2100,(042)521-2101,www.dowoneng.co.kr
117,"DY ENGINEERING CO., LTD.","13F, Kolon Science Valley 1, 43, Digital-ro 34-gil, Guro-gu, Seoul",(02)2050-7500,(02)2050-7600,www.dyengco.com
116,EGA,"648, Seolleung-ro, Gangnam-gu, Seoul",(02)3446-8885,(02)3446-8126,
115,"GANSAM ARCHITECTS & PARTNERS CO., LTD.","Gansam Architecture B/D, 16, Dongho-ro 20da-gil, Jung-gu, Seoul",(02)2250-6000,(02)2250-6184,www.gansam.com
114,GARAM ARCHITECTS & ASSOCIATES,"6F, 6-6, Dosan-daero 23-gil, Gangnam-gu, Seoul",(02)2017-0302,(02)511-0362,garam.net
113,GYERIM ARCHITECTS,"30-1, Apdok 2-ro 1-gil, Amnyang-myeon, Gyeongsan-si, Gyeongsangbuk-do",(053)814-1703,(053)814-6108,kyerim.kr/
112,HAEAHN ARCHITECTURE INC.,"Haeahn B/D, 208, Bongeunsa-ro, Gangnam-gu, Seoul",(02)3438-8000,(02)3438-8101,www.haeahn.com
111,"HAENG LIM ARCHITECTS & PLANNERS CO., LTD.","Haenglim Memphis Tower, 516, Heungan-daero, Dongan-gu, Anyang-si, Gyeonggi-do",(031)389-6600,(031)389-6655,www.e-haenglim.com
110,HALLA CORPORATION,"SigmaTower, 289, Olympic-ro, Songpa-gu, Seoul",(02)3434-5508,(02)3432-0052,www.halla.com
109,"HANJIN HEAVY INDUSTRIES & CONSTRUCTION CO., LTD.","233, Taejong-ro, Yeongdo-gu, Busan",(02)450-8114,(02)450-8101,www.hanjinsc.com
108,HANLIM Architecture Group,"8F, ENA Center, 75, Seosomun-dong, Jung-gu, Seoul",(02)2272-7102,(02)2179-9817,www.hanlim-archi.com
107,HANLIM ENC,"1605, Namun Plaza, 17, Bukbusunhwando-ro, Nam-gu, Ulsan",(052)277-0163,(052)277-0168,www.hanlimeng.com
106,"HANMIGLOBAL CO., LTD","9F, City Air Tower B/D, 36, Teheran-ro 87-gil, Gangnam-gu, Seoul",(02)3429-6300,(02)3429-6363,www.hmglobal.com
105,HANSEOK ENGINEERING CONSULTANTS INC.,"109-10, Seombae-ro, Socho-myeon, Wonju-si, Gangwon-do",(033)730-8857,(033)747-8232,www.hanseok.com
104,HANSUNG ENGINEERING CORPORATION,"524, Bunseong-ro, Gimhae-si, Gyeongsangnam-do",(055)334-7501,(055)322-8621,
103,HANWON FORUM ARCHITECTURE GROUP,"303, SH Crop B/D, 621, Gaepo-ro, Gangnam-gu, Seoul",(02)2226-0942,(02)2226-7682,www.hanwon21.com
102,HANWOONG CONSTRUCTION,"105-1, Bosu-daero, Seo-gu, Busan",(051)255-0670,(051)255-1275,www.hanwoongcon.com
101,"HAUD ARCHITECTS, PLANERS& ENGINEERS","3-16, Jungdae-ro 25-gil, Songpa-gu, Seoul",(02)2140-4400,(02)3452-6610,www.haud.co.kr
