NO.,코드,가입일,구분,지회,조회Key,회사명,대표자,전화번호,FAX,주소,홈페이지
1,239,2014/03/14,용역,영남1,,㈜건일엔지니어링,손광식,(054)284-0195,(054)284-0196,(37830)경상북도 포항시 남구 상공로46번길 5,www.kunileng.co.kr
2,299,2024/12/13,용역,영남1,ㄱ,㈜가람영산건축사사무소,김남혁,064-727-4567,064-727-4566,"(63088)제주특별자치도 제주시 한라대학로 39, 4층(노형동)",
3,275,2018/11/30,용역,영남1,ㄱ,㈜가우리안,김동준,(031)900-1600,(031)900-1692,"(10401)경기도 고양시 일산동구 무궁화로 20-38, 707호(장항동, 로데오탑프라자)",www.gaurian.com
4,167,2007/22/21,용역,영남1,ㄱ,㈜간삼건축종합건축사사무소,김태집,(02)2250-6000,(02)2253-0244,(04607)서울특별시 중구 동호로 20다길 16 간삼건축빌딩,www.gansam.com
5,255,2017/01/12,용역,영남1,ㄱ,㈜건설사업관리 지성,고기호,(02)718-6650,(02)718-6658,"(06658)서울특별시 서초구 반포대로23길 39-4, 301호(서초동, 쓰리엠하우스)",www.cmjisung.com
6,165,2007/11/18,용역,영남1,ㄱ,㈜건정종합건축사사무소,노형래,(02)514-0025,(02)512-4664,(06097)서울특별시 강남구 선릉로112길 37 건정빌딩,건정건축.kr
7,290,2022/09/22,용역,영남1,ㄱ,㈜건축사사무소가온,엄시연,02-408-0108,070-4495-6977,(02586) 서울특별시 동대문구 난계로 234 삼송빌딩 7층,www.gaonarchi.com
8,41,2002/22/22,용역,영남1,ㄱ,㈜건축사사무소건원엔지니어링,"김득한, 이석기",(02)3458-2800,(02)556-3523,"(05855)서울특별시 송파구 송파대로 167, B동 16층(문정동, 문정테라타워)",www.kunwoneng.com
9,249,2016/02/29,용역,중부,ㄱ,㈜건축사사무소광장,신만석,(031)898-3535,(031)624-4793,"(16898) 경기도 용인시 기흥구 죽전로 39, 707호(보정동 SJ타워)",kwangjangarch.com
10,50,1997/22/27,시공,중부,ㄱ,경남기업㈜,박흥준,(02)2210-0500,(02)2210-0199,(02622)서울특별시 동대문구 황물로 168 (답십리동),www.kne.co.kr
11,34,1999/11/16,용역,중부,ㄱ,㈜경원엔지니어링건축사사무소,이도춘/최광,(033)730-8857,(033)747-8232,(26307)강원도 원주시 소초면 섬배로 109-10,kyungwoneng.com
12,210,2010/05/04,용역,중부,ㄱ,㈜경진건축사사무소,이대형,(02)573-7212,(02)573-7213,"(06691)서울특별시 서초구 동작대로 40, 경복빌딩 4층",kyung-jin.net
13,204,2010/01/15,용역,영남1,ㄱ,㈜계림건축사사무소,한주현,(053)814-1703,(053)814-6108,(38621) 경상북도 경산시 중앙로19길 62(중방동 838-16번지),kyerim.kr
14,51,1997/22/27,시공,영남1,ㄱ,극동건설㈜,남관우,(02)2273-1141,(02)2272-1295,(04554)서울특별시 중구 퇴계로 173 (극동빌딩 9층),www.kukdong.co.kr
15,77,1999/22/29,시공,호남,ㄱ,금광기업㈜,이동학,(062)239-8100,(062)224-5111,(61481)광주광역시 동구 금남로 186 송원빌딩,www.gumgwang.co.kr
16,52,1997/22/27,시공,호남,ㄱ,금호건설㈜,서재환,(02)6303-0114,(02)6303-0735,(03185)서울특별시 종로구 새문안로 76 금호아시아나본관,www.kumhoenc.com
17,241,2014/04/30,용역,영남2,ㄱ,김재영 감정평가사,,(051)861-2772,(051)861-3825,(47511)부산광역시 연제구 법원로16번길 10 금복빌딩 5층,
18,69,1999/00/01,용역,영남2,ㄱ,㈜디자인그룹금성건축사사무소,"한종언,정해상",(02)720-2646,(02)737-9199,"(03184)서울특별시 종로구 새문안로 46 피어선빌딩 4,5층",www.ksde.co.kr
19,240,2014/04/22,용역,영남2,ㄱ,변호사 김명식 법률사무소,김명식,(02)3477-9966,(02)3477-9975,(06646)서울특별시 서초구 서초대로 260 순영빌딩 402호,lawking.or.kr/
20,206,2010/01/21,용역,영남2,ㄴ,㈜나우씨엠건축사사무소,김홍룡,(02)518-7855,(02)2051-8445,"(06770)서울특별시 서초구 매헌로 54(양재동, 나우건축)",www.nowarch.com
21,307,2026/07/03,용역,중부,ㄴ,㈜네오이앤씨,"금경철,노용제",02-0426-2769,02-426-2769,"경기도 하남시 천호대로 1405, 103호",
22,200,2009/06/30,용역,중부,ㄷ,㈜건축사사무소대원아키텍,한동신,(02)554-5117,(02)563-5129,(06172)서울특별시 강남구 봉은사로114길 30-5,
23,205,2010/01/19,용역,영남1,ㄷ,㈜다산컨설턴트,이해경,(02)2222-4005,(02)539-1115,(05800)서울특별시 송파구 송이로30길 15,www.dasan93.co.kr
24,188,2008/07/11,용역,영남1,ㄷ,㈜다원그룹건축사사무소,이혁희,(02)422-4563,(02)422-5847,(05621)서울특별시 송파구 백제고분로41길 8-8 다원빌딩,www.dawonarchi.com
25,147,2005/22/21,용역,영남1,ㄷ,㈜다인씨엠건축사사무소,이경희,(02)6925-2733,(02)6925-2790,(06173)서울특별시 강남구 영동대로96길 20 대화빌딩 8-9층,www.daain.com
26,111,2003/04/14,용역,중부,ㄷ,㈜단에이앤씨종합건축사사무소,박규석,(032)425-8855,(032)246-8005,(22221)인천광역시 남구 학익소로 66 선정빌딩 3층,www.dannet.co.kr
27,53,1997/22/27,시공,중부,ㄷ,㈜대우건설,김보현,(02)2259-3030,(02)2259-3777,(04548) 서울특별시 중구 을지로 170,www.daewooenc.com
28,282,2020/11/11,용역,중부,ㄷ,㈜더반이엔지,최돈용,032-325-0975,032-326-0975,"(14558) 경기도 부천시 조마루로385번길 92, 2015호(원미동, 부천테크노밸리 U1센터)",
29,261,2017/10/31,용역,중부,ㄷ,㈜더블유에스피건축사사무소,임기환,(02)2017-5600,(02)545-1932,"(06071)서울특별시 강남구 영동대로 741(청담동, 은성빌딩 3층)",www.wsp-pb.com/ko-KR/1
30,129,2004/41/12,용역,중부,ㄷ,더블유에스피아시아리미티드(영업소),최종철,(02)545-1931,(02)545-1932,"(06223)서울특별시 강남구 테헤란로32길 26(역삼동, 청송빌딩)",www.wsp.com
31,98,2003/21/15,용역,충청,ㄷ,㈜도원엔지니어링건축사사무소,"최철순, 손정숙, 이강희",(042)521-2100,(042)521-2101,(35270)대전광역시 서구 계룡로 390 도원빌딩,www.dowoneng.co.kr
32,9,2000/11/10,용역,충청,ㄷ,㈜도화엔지니어링,"오세항,노진명,박승우",(02)6323-3000,(02)553-8021,(06178)서울특별시 강남구 삼성로 438,www.dohwa.co.kr
33,80,2000/02/26,용역,중부,ㄷ,㈜동명기술공단종합건축사사무소,"신계식,신완수",(031)706-1681,(031)706-1682,(02589)서울특별시 동대문구 청계천로 501,www.dmec.co.kr
34,3,1997/22/27,시공,중부,ㄷ,동부건설㈜,허상희,(02)3484-2114,(02)3484-2005,(04323)서울특별시 용산구 한강대로 372 센트레빌 아스테리움 D동,dbcon.dongbu.co.kr
35,93,2003/11/14,용역,중부,ㄷ,동부엔지니어링㈜,홍문기,(02)2122-6700,(02)2122-6920,(04323)서울특별시 용산구 한강대로 372 센트레빌 아스테리움 D동 24~26층,www.dongbueng.co.kr
36,26,2000/00/08,시공,중부,ㄷ,㈜동양건설산업,박광태,(02)3420-8024,(02)3420-8112,(06177)서울특별시 강남구 영동대로 312 LEXUS D&T빌딩,www.dongyangex.co.kr
37,30,2000/12/26,용역,영남1,ㄷ,㈜동우이앤씨,홍준표,(053)749-2026,(053)753-5644,(41260) 대구광역시 동구 동대구로 441 영남타워 8층,www.dongwooa.com
38,276,2018/12/11,용역,영남1,ㄷ,㈜두가씨앤씨종합건축사사무소,김재학,(02)548-5091,(02)548-5093,(04793) 서울시 성동구 성수일로10길 26 하우스디세종타워 18층,www.dugacc.com
39,54,1997/22/27,시공,영남1,ㄷ,두산건설㈜,"김진호, 김진설",(02)510-3114,(02)510-3004,(06057)서울특별시 강남구 언주로 726 두산빌딩,www.doosanenc.com
40,190,2008/08/14,용역,영남1,ㄷ,㈜디에이그룹엔지니어링종합건축사사무소,김현호,(02)531-0400,(02)531-0551,(06174)서울특별시 강남구 테헤란로104길 7 디에이그룹빌딩,dagroup.kr
41,234,2012/05/24,용역,중부,ㄷ,㈜디엠이엔지종합건축사사무소,김경옥,(02)729-9705,(02)729-9998,"(13840)경기도 과천시 과천대로7나길 37, 1031호(갈현동)",www.the-mgroup.co.kr/
42,146,2005/00/02,용역,중부,ㄷ,㈜종합건축사사무소담,김동술,(02)454-9050,(02)558-9055,(05054)서울특별시 광진구 아차산로 334 예담빌딩,www.domarchi.co.kr
43,182,2008/22/29,용역,중부,ㄷ,㈜종합건축사사무소동우건축,이중규,(02)519-6300,(02)540-7231,(07265)서울특별시 영등포구 당산로 92(당산동1가 455-1),www.dongwoo.net
44,152,1999/00/03,용역,중부,ㄷ,㈜종합건축사사무소동일건축,"오봉석, 윤수현",(02)515-1360,(02)544-3265,(06054)서울특별시 강남구 도산대로46길 8,www.dongil82.co.kr
45,274,2018/11/08,용역,중부,ㄹ,㈜람코리아,구주환,(02)455-7773,(02)453-7774,"(05026) 서울특별시 광진구 자양로19길 8. 3층(자양동, 광석빌딩)",www.ram-korea.net
46,263,2018/02/01,용역,중부,ㄹ,랜드엔지니어링㈜,"류점동, 신병기",(02)402-2183,(02)402-2117,"(05719)서울특별시 송파구 중대로 105, 13층 1302호(가락동, 가락ID타워)",landeng.co.kr
47,262,2017/12/19,용역,중부,ㄹ,㈜로이테크원,박일수,(02)890-0770,(02)830-6583,"(08389)서울특별시 구로구 디지털로 272, 한신IT타워 202호",www.roit.co.kr
48,4,1997/22/27,시공,중부,ㄹ,롯데건설㈜,하석주,(02)3480-9002,(02)535-9155,(06515)서울특별시 서초구 잠원로14길 29,www.lottecon.co.kr
49,304,2026/01/13,용역,중부,ㅁ,㈜마스원기술사사무소,류보현,02-435-9753,02-2209-9753,"서울특별시 중랑구 신내역로3길 40-36, B동 607호(신내동)",blog.naver.com/bh9753
50,286,2021/08/18,용역,호남,ㅁ,마인엔지니어링건축사사무소㈜,"박재형,김윤오,김태식",061-332-7561,061-332-7564,"(58217) 전라남도 나주시 빛가람로 685, 비젼타워 612호",www.ma-in.kr
51,70,1999/70/03,용역,중부,ㅁ,㈜명광엔지니어링건축사사무소,선우정호,(031)272-2376,(031)264-2378,(10461)경기도 고양시 덕양구 호국로 781 (주교동) 명승세도나 5층,www.myoungkwang.com
52,236,2012/09/05,용역,영남2,ㅁ,㈜명인씨엠,임옥예,(051)806-7650,(051)806-7651,(48037)부산광역시 해운대구 선수촌로 86-10 블루웨이브 10호,
53,136,2005/12/24,용역,영남2,ㅁ,㈜무영씨엠건축사사무소,한일기,(02)2188-3100,(02)555-6657,(13840)경기도 과천시 과천대로 7길 26(갈현동) 스마트케이 B타워 2층,www.mooyoungcm.com
54,185,2008/06/04,용역,영남2,ㅁ,㈜미래도시경영연구원,문기채,(02)569-0047,(02)3474-9580,"(05836) 서울특별시 송파구 법원로 127, 1112호(문정동, 문정대명벨리온)",www.nextaus.com
55,266,2018/03/28,용역,영남2,ㅂ,배태민 변호사,배태민,(02)521-9399,(02)586-9398,"(06648)서울특별시 서초구 반포대로28길 28, 4층(서초동 초석빌딩)",
56,163,2006/11/11,용역,영남2,ㅂ,㈜백림종합건축사사무소,이명진,(032)743-8978,(032)743-2939,(22382)인천광역시 중구 공항로424번길 72 아이비씨대우디오빌 404호,
57,243,2014/11/24,용역,영남2,ㅂ,㈜범건축종합건축사사무소,"김기영, 서영호",(02)538-9966,(02)6919-4093,"(05837)서울시 송파구 송파대로 111, 하비오타워동 법도재로 205동 610호",www.baum.co.kr
58,270,2018/07/25,용역,영남2,ㅂ,㈜범씨엠건축사사무소,"조윤성, 조성제",(02)6942-5122,(02)6942-5114,"(05855)서울특별시 송파구 송파대로 167, A동 13층 (문정동, 테라타워)",www.baumcm.co.kr
59,246,2015/05/26,용역,영남2,ㅂ,법무법인 율촌 정유철 변호사,정유철,(02)528-5212,(02)528-5300,(06180)서울특별시 강남구 테헤란로 518 (섬유센터빌딩 12층),www.yulchon.com
60,303,2025/06/17,용역,영남1,ㅂ,㈜보정건축사사무소,남효황,053-742-0953,053-752-4588,"대구시 동구 동부로26길 5, 2층 222호",archibojung.com
61,281,2020/07/09,용역,중부,ㅂ,㈜블럭씨앤아이,고진호,02-6956-9911,0503-8379-5875,"(06650) 서울특별시 서초구 반포대로24길 81, 204호",www.blockcni.co.kr
62,155,2006/11/13,용역,중부,ㅂ,㈜비씨엠피,신용훈,(031)463-3570,(031)463-3580,(14057)경기도 안양시 동안구 시민대로 401 대륭테크노타운 15차 1902호,www.bcmpkorea.com
63,113,2003/22/21,용역,중부,ㅂ,㈜빅스코이엔시(BIXCO E&C),이창섭,(02)523-7800,(02)586-6607,(06255)서울특별시 강남구 도곡로7길 28 우정빌딩,www.woojungart.co.kr
64,56,1997/32/27,시공,중부,ㅅ,삼성물산㈜,"고정석,오세철,한승환",(02)2145-6381,(02)2145-6394,(05288)서울특별시 강동구 상일로6길 26(상일동),www.secc.co.kr
